,location,date,excess_mortality,excess_mortality_cumulative,excess_mortality_cumulative_absolute,excess_mortality_cumulative_per_million,excess_mortality_count_week,excess_mortality_count_week_pm,cumulative_estimated_daily_excess_deaths,cumulative_estimated_daily_excess_deaths_ci_95_top,cumulative_estimated_daily_excess_deaths_ci_95_bot,cumulative_estimated_daily_excess_deaths_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_bot_per_100k
0,Afghanistan,2020-02-24,,,,,,,-277.486852488653,853.301787745527,-882.928126927589,-0.696583083000018,2.14206757799998,-2.21643941399999
1,Afghanistan,2020-03-02,,,,,,,-335.924845759176,834.646115077448,-1113.27580934684,-0.843281628000021,2.09523571599996,-2.794687707
2,Afghanistan,2020-03-09,,,,,,,-392.159666590264,1224.81297494495,-1403.01389873238,-0.984449487000023,3.074682604,-3.522025416
3,Afghanistan,2020-03-16,,,,,,,-154.316237728785,1761.90565256401,-1575.06930547837,-0.387384410000024,4.422961522,-3.95394096299999
4,Afghanistan,2020-03-23,,,,,,,-32.7191900951427,2171.63599148142,-1943.86675513463,-0.0821359070000269,5.451519164,-4.87974361699999
5,Afghanistan,2020-03-30,,,,,,,-54.6381232636022,2573.24123239506,-2280.15522704602,-0.137159624000029,6.459680143,-5.723938066
6,Afghanistan,2020-04-06,,,,,,,-94.8297341661052,2858.87842141959,-2420.43024961046,-0.238053760000031,7.176723246,-6.07607441700001
7,Afghanistan,2020-04-13,,,,,,,54.6503144979624,3168.50550864015,-2676.19595581421,0.137190227999966,7.953988868,-6.71813029300001
8,Afghanistan,2020-04-20,,,,,,,201.911706293376,3734.27119154711,-2742.64231016345,0.506864658999964,9.37424644099997,-6.88493245299999
9,Afghanistan,2020-04-27,,,,,,,371.023030320638,4199.84555140617,-3144.58687562648,0.93138959199996,10.542990906,-7.89394524800006
10,Afghanistan,2020-05-04,,,,,,,581.899889302066,4585.9142715078,-3256.45798121917,1.46075972699996,11.512150118,-8.17477844400006
11,Afghanistan,2020-05-11,,,,,,,837.608030125521,5260.79547295704,-3142.66994065491,2.10267109499996,13.206323459,-7.88913311199998
12,Afghanistan,2020-05-18,,,,,,,1339.51282614823,5944.83855714399,-3025.58202127146,3.36261687999995,14.923496133,-7.59520400099998
13,Afghanistan,2020-05-25,,,,,,,1791.63518223545,6661.91436253581,-2966.58362718337,4.49759239999994,16.72359178,-7.44709866599996
14,Afghanistan,2020-06-01,,,,,,,2391.81720779559,7694.29161946167,-2393.14103029122,6.00424628999993,19.315197566,-6.00756951900008
15,Afghanistan,2020-06-08,,,,,,,3076.02680606335,8808.96586545085,-2077.94459848944,7.72183696899993,22.113395808,-5.21632301400009
16,Afghanistan,2020-06-15,,,,,,,3918.50725597371,10134.8759063504,-1440.83800649443,9.83673943699993,25.4418652319999,-3.61697634199997
17,Afghanistan,2020-06-22,,,,,,,4748.99958437924,11666.0191263514,-925.31231962263,11.9215477849999,29.285537302,-2.32283764999997
18,Afghanistan,2020-06-29,,,,,,,5558.97902044351,12978.1709604947,-579.457297973285,13.9548620399999,32.579469111,-1.45462802100001
19,Afghanistan,2020-07-06,,,,,,,6429.82468322378,14486.154368168,-111.581329543722,16.1409705029999,36.36500245,-0.280105763000017
20,Afghanistan,2020-07-13,,,,,,,7380.94925077375,16471.0730611387,405.241354646433,18.5286053679999,41.347799906,1.01728881799998
21,Afghanistan,2020-07-20,,,,,,,8226.29101574067,17826.8981353391,404.707056789769,20.6506906759999,44.7513658830001,1.01594755499996
22,Afghanistan,2020-07-27,,,,,,,8699.04430610283,18961.8837418573,646.387883021509,21.8374566129999,47.600552307,1.62264575900003
23,Afghanistan,2020-08-03,,,,,,,9398.17318398953,19844.3751788808,1432.52167453497,23.5924995809999,49.8158954860001,3.59609961899987
24,Afghanistan,2020-08-10,,,,,,,9984.03581283605,20772.258833952,1756.51333742152,25.0632070849999,52.1451880320001,4.40942504099999
25,Afghanistan,2020-08-17,,,,,,,10456.2957318619,21816.119695492,2063.95502597391,26.2487344979999,54.765621435,5.18120459499999
26,Afghanistan,2020-08-24,,,,,,,10989.1873274005,22686.635550805,2269.11590257845,27.5864673209999,56.950901973,5.69622573799999
27,Afghanistan,2020-08-31,,,,,,,11911.757029193,23400.0532887613,2607.8533458608,29.9024200999999,58.74181467,6.54656790899999
28,Afghanistan,2020-09-07,,,,,,,12525.0924178982,24234.0946299396,2935.45121045557,31.4420932489999,60.835532205,7.36894608099999
29,Afghanistan,2020-09-14,,,,,,,13131.429042579,25307.8139102717,3264.56813018184,32.9641972029999,63.5309200399999,8.19513757999999
30,Afghanistan,2020-09-21,,,,,,,13691.8609405379,25982.6546676077,3518.99539110111,34.3710652249999,65.2249918529999,8.83383351899999
31,Afghanistan,2020-09-28,,,,,,,14295.7312383485,27006.7499299163,3722.08362122466,35.8869778889999,67.7958071139998,9.34365163899999
32,Afghanistan,2020-10-05,,,,,,,14888.8491044522,28616.6685062925,3845.74645846707,37.3758984199999,71.8372311859998,9.65408595199999
33,Afghanistan,2020-10-12,,,,,,,15503.6549255638,29643.1714844112,4035.5170421487,38.9192628369999,74.4140906040001,10.130472408
34,Afghanistan,2020-10-19,,,,,,,16127.1618219459,30726.6704101199,4227.61039896373,40.4844698089999,77.1340285590001,10.612689787
35,Afghanistan,2020-10-26,,,,,,,16684.9271634425,31863.3537324692,4361.91803258657,41.8846438989999,79.9874768070001,10.949846033
36,Afghanistan,2020-11-02,,,,,,,17243.4421375837,32893.1787076301,4495.53454702827,43.2866998129999,82.5726755280001,11.285267343
37,Afghanistan,2020-11-09,,,,,,,18116.6517872312,33861.9822074531,4613.32990656605,45.4787426589999,85.004690316,11.580972361
38,Afghanistan,2020-11-16,,,,,,,18809.8591355177,35103.7425792615,4793.58665951183,47.2189206439999,88.1219164489999,12.033475979
39,Afghanistan,2020-11-23,,,,,,,19501.4956912156,36604.088465806,5311.36763830199,48.9551554239999,91.8882771029999,13.333276194
40,Afghanistan,2020-11-30,,,,,,,20234.7506672419,38126.4982167649,6033.66962677724,50.7958660999999,95.7100252989999,15.146491276
41,Afghanistan,2020-12-07,,,,,,,21128.4805457214,39533.5154525215,6685.03604797693,53.0394214559999,99.242100405,16.7816348
42,Afghanistan,2020-12-14,,,,,,,21662.9277059595,40468.1919395836,7267.71477088576,54.3810592569999,101.588445189,18.244349655
43,Afghanistan,2020-12-21,,,,,,,22429.5032970157,41324.1577183898,7920.62505911161,56.3054156139999,103.737200259,19.883368792
44,Afghanistan,2020-12-28,,,,,,,22936.8549675798,42517.0802701569,8612.39888888942,57.5790348419999,106.731827433,21.619948175
45,Afghanistan,2021-01-04,,,,,,,23437.1613427544,43088.0063586935,9148.35902258426,58.8349680659999,108.165039318,22.965384036
46,Afghanistan,2021-01-11,,,,,,,23936.136015189,43645.88450257,9642.04156996139,60.0875582789999,109.565496579,24.204689278
47,Afghanistan,2021-01-18,,,,,,,24344.5698754454,44355.5227347886,9870.99215978564,61.1128613339999,111.346921476,24.77943041
48,Afghanistan,2021-01-25,,,,,,,24752.8709733823,45161.9703462704,9982.71773182073,62.1378311119999,113.371369692,25.059898269
49,Afghanistan,2021-02-01,,,,,,,25235.0051397558,45794.1535562209,10082.1478137819,63.3481461269999,114.958357059,25.309500412
50,Afghanistan,2021-02-08,,,,,,,25632.82992406,46391.7586470648,10200.2182540793,64.3468169189999,116.458541997,25.605895973
51,Afghanistan,2021-02-15,,,,,,,26043.1048559021,47489.5871111886,10355.1005448745,65.3767416679999,119.214451797,25.994701362
52,Afghanistan,2021-02-22,,,,,,,26455.9126365923,48738.3410130445,10568.1080451431,66.4130246989998,122.349233986,26.529420106
53,Afghanistan,2021-03-01,,,,,,,26910.4899146667,49975.48298165,10819.3728853628,67.5541628789998,125.454866411,27.160177331
54,Afghanistan,2021-03-08,,,,,,,27370.6255284035,51255.3586956445,10974.3094845937,68.7092543059998,128.667774564,27.549119052
55,Afghanistan,2021-03-15,,,,,,,27830.0672846718,52517.7639998972,11138.8360066016,69.8626039229998,131.836826254,27.962134627
56,Afghanistan,2021-03-22,,,,,,,28285.6006516586,53293.7493444634,11336.3882395758,71.0061421999998,133.784804181,28.458055577
57,Afghanistan,2021-03-29,,,,,,,28889.4833972437,54136.6695209326,11542.2433891323,72.5220861119998,135.900810507,28.974819573
58,Afghanistan,2021-04-05,,,,,,,29585.7629839994,55031.5326125715,11896.8284388395,74.2699764239999,138.1472106,29.864944438
59,Afghanistan,2021-04-12,,,,,,,30349.5225226058,55861.6715764311,12217.4018937597,76.1872635649999,140.231131887,30.6696890359999
60,Afghanistan,2021-04-19,,,,,,,31008.6595786021,56772.9156884034,12655.7450988177,77.8419139329999,142.518653718,31.7700743639999
61,Afghanistan,2021-04-26,,,,,,,31653.8175690755,57783.8917882737,13192.2137759682,79.4614722579998,145.056535575,33.116786836
62,Afghanistan,2021-05-03,,,,,,,32726.9693574856,59769.7304760719,13663.1479233511,82.1554355019999,150.04164252,34.2989861269999
63,Afghanistan,2021-05-10,,,,,,,34069.0985474568,62304.2947970905,14268.8686146359,85.5246203139999,156.40423092,35.819543886
64,Afghanistan,2021-05-17,,,,,,,35667.0214901632,64249.6684663146,15067.8809757484,89.5359314079999,161.287757386,37.8253271829999
65,Afghanistan,2021-05-24,,,,,,,37994.1830719781,65910.7094783058,16207.1708799329,95.3778708539999,165.457515552,40.6853188069999
66,Afghanistan,2021-05-31,,,,,,,39948.9757385234,68421.8279224143,17103.3628663125,100.285042095,171.761247105,42.9350548619999
67,Afghanistan,2021-06-07,,,,,,,41457.2399405517,70792.3259851385,17887.2237678107,104.07128032,177.711975343,44.9028030220001
68,Afghanistan,2021-06-14,,,,,,,43093.2552623117,73011.2229781673,18718.3203542466,108.178215789,183.282135134,46.989128256
69,Afghanistan,2021-06-21,,,,,,,44753.067511089,75148.7661018248,19479.6332777475,112.344889356,188.648070009,48.90027359
70,Afghanistan,2021-06-28,,,,,,,46403.232341421,77314.7164440143,20293.4590398948,116.487344736,194.085316327,50.943243386
71,Afghanistan,2021-07-05,,,,,,,48050.4078431585,79265.0028879053,21708.8794436652,120.62229592,198.981175469999,54.4964132020001
72,Afghanistan,2021-07-12,,,,,,,49646.2300956409,81174.3818706841,23267.4739717486,124.628333592,203.774343457999,58.4089970660001
73,Afghanistan,2021-07-19,,,,,,,51040.214583953,83212.7343368467,24725.7089366341,128.127692224,208.891277223999,62.069645484
74,Afghanistan,2021-07-26,,,,,,,52703.5586935629,84992.3186093744,25935.6862724165,132.303231921,213.358617885,65.107085764
75,Afghanistan,2021-08-02,,,,,,,54521.1665031506,86510.7478219212,26801.2112784122,136.866024141,217.170373623,67.2798376319999
76,Afghanistan,2021-08-09,,,,,,,55771.9588591462,87964.1584097431,27258.3093312166,140.005923519,220.818911271,68.4273037839999
77,Afghanistan,2021-08-16,,,,,,,56614.3366874171,89048.2158624109,27662.0667878869,142.120568373,223.540251312,69.4408675309999
78,Afghanistan,2021-08-23,,,,,,,57529.6530732151,90209.668951089,28208.0078450187,144.418312948,226.455879804,70.8113587859999
79,Afghanistan,2021-08-30,,,,,,,58592.0023543952,90986.3134783751,28842.0116786312,147.085158353,228.405512496,72.4029165159999
80,Afghanistan,2021-09-06,,,,,,,59457.6078359227,91802.5498340437,29038.6349378722,149.258112241,230.454533673,72.8965054369999
81,Afghanistan,2021-09-13,,,,,,,60227.3541685026,92788.8079161963,29224.1967181723,151.1904282,232.930365192,73.3623264149999
82,Afghanistan,2021-09-20,,,,,,,60997.9236687322,93734.9653002585,29461.7786015559,153.12481058,235.305530796,73.9587349269999
83,Afghanistan,2021-09-27,,,,,,,61635.4988675729,94722.7738469805,29794.7678666717,154.725333609,237.78525449,74.7946472839999
84,Afghanistan,2021-10-04,,,,,,,62279.8019798026,95728.6710819522,30157.5863412521,156.342745909,240.310386729,75.7054407479999
